,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
0,7.0,40.0,Aude (département),0.9963027834892272,Q3207,Geography.Regions.Europe.Europe*,192.0,12375.7,192.0,24.0,192.0,25.0,24.567013,-3.6368767999999996,31.0,152.0,0.20394736842105265,Europe*,Geography,0.0,361.3611555621028,0.0
1,6.0,430.0,Billy Wilder,0.2814156115055084,Q51547,Culture.Media.Media*,0.0,4242.696613697573,139.0,14.0,41.0,22.5,2.8700468999999997,-2.1335354,23.0,188.0,0.12234042553191488,Media*,Culture,38.835354387760155,1373.5928964093328,0.028272827043062373
2,6.0,728.0,Cecil B. DeMille,0.9991540908813475,Q72267,Culture.Biography.Biography*,0.0,4167.148999365062,139.0,14.0,41.0,22.5,-17.897793,17.07912,25.0,188.0,0.13297872340425532,Biography*,Culture,0.0,1373.5928964093328,0.0
3,5.0,1166.0,Finnois,0.9931061863899232,Q1412,Culture.Linguistics,172.0,23065.0,126.0,21.0,0.0,20.0,-1.5331038000000001,9.383853,2.0,87.0,0.02298850574712644,Linguistics,Culture,9.931061863899233,116.11500512063505,0.08552780800019415
4,5.0,1353.0,Haute-Loire,0.9919480085372924,Q12572,Geography.Regions.Europe.Europe*,192.0,6833.0,192.0,24.0,192.0,20.0,19.419691,7.1208050000000025,31.0,152.0,0.20394736842105265,Europe*,Geography,0.0,361.3611555621028,0.0
5,9.0,1889.0,Louis Malle,0.9942797422409058,Q55392,Culture.Biography.Biography*,135.0,43133.32852204744,134.0,5.0,0.0,30.0,-3.3725579,-19.667057,135.0,855.0,0.15789473684210525,Biography*,Culture,0.0,19611.76633732766,0.0
6,4.0,6877.0,Gujarat,0.8740872144699097,Q1061,Geography.Regions.Asia.Asia*,88.0,5457.5,77.0,16.0,193.0,17.5,1.031823,6.303474,14.0,163.0,0.08588957055214724,Asia*,Geography,0.0,1198.1288323402405,0.0
7,3.0,7559.0,Nebraska,0.8354935646057129,Q1553,Geography.Regions.Americas.North_America,172.0,10443.516299992578,126.0,3.0,0.0,15.0,-23.719117999999998,20.358133,58.0,480.0,0.12083333333333332,North_America,Geography,0.0,16296.66276203096,0.0
8,1.0,7946.0,Pendjabi,0.9362950325012208,Q58635,Culture.Linguistics,88.0,0.0,77.0,16.0,193.0,10.0,17.261118,21.501684,1.0,163.0,0.006134969325153374,Linguistics,Culture,0.9362950325012208,1198.1288323402405,0.000781464402849238
9,13.0,8391.0,Antisémitisme,0.9763205647468568,Q22649,Culture.Philosophy_and_religion,74.0,168545.1869410395,134.0,4.0,0.0,40.0,-13.161551000000001,16.61449,8.0,332.0,0.024096385542168683,Philosophy_and_religion,Culture,101.53733873367314,3764.092290244997,0.026975252173496597
