,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
0,4.0,477.0,Bengali,1.0,0.9481645226478576,Q9610,Culture.Linguistics,13.0,0.0,95.0,14.0,175.0,13.913044000000001,8.631614,6.4280040000000005,2.0,150.0,0.013333333333333334,Linguistics,Culture,7.58531618118286,368.7960807308554,0.020567778719748832
1,3.0,898.0,Douglas MacArthur,0.0,0.983095109462738,Q127417,History_and_Society.Military_and_warfare,170.0,3141.0,44.0,2.0,235.0,12.608696,-13.697391,11.552361999999999,4.0,385.0,0.010389610389610391,Military_and_warfare,History_and_Society,11.797141313552856,31936.070676252246,0.00036939864747748206
2,29.0,1328.0,Genre musical,14.0,0.8080772161483765,Q188451,Culture.Media.Media*,49.0,62108.40346554072,164.0,2.0,0.0,46.52174,6.6348410000000015,-24.199846,59.0,385.0,0.15324675324675324,Media*,Culture,1382.6201168298721,31936.070676252246,0.043293369771316065
3,3.0,2335.0,Prix Nobel de physiologie ou médecine,2.0,0.8596737384796143,Q80061,History_and_Society.Society,88.0,1049.0,77.0,4.0,193.0,12.608696,5.0033970000000005,18.731189999999998,41.0,709.0,0.05782792665726375,Society,History_and_Society,105.73986983299255,17206.450452812016,0.006145362178154048
4,3.0,2346.0,Prix Nobel de chimie,2.0,0.8519628047943115,Q44585,History_and_Society.Society,88.0,3141.0,77.0,4.0,193.0,12.608696,-4.1967006,6.331164,41.0,709.0,0.05782792665726375,Society,History_and_Society,104.79142498970032,17206.450452812016,0.006090240708104586
5,25.0,2898.0,Musique soul,14.0,0.8774868249893188,Q131272,Culture.Media.Media*,49.0,6517.3380952380985,164.0,2.0,0.0,41.304348,15.193444,-14.192039499999998,59.0,385.0,0.15324675324675324,Media*,Culture,1294.2930668592453,31936.070676252246,0.040527624076861946
6,1.0,3369.0,Zoologie,2.0,0.14415885508060455,Q431,History_and_Society.Society,88.0,0.0,77.0,4.0,193.0,10.0,22.274893,-4.2040809999999995,41.0,709.0,0.05782792665726375,Society,History_and_Society,5.910513058304787,17206.450452812016,0.000343505656469597
7,3.0,3370.0,The Legend of Zelda,3.0,0.9955416321754456,Q12393,Culture.Media.Media*,0.0,0.0,129.0,9.0,152.0,12.608696,21.130032,2.883801,51.0,407.0,0.12530712530712532,Media*,Culture,152.31786972284314,8154.84935669601,0.01867819539765916
8,3.0,3998.0,Éphéméride,0.0,0.14805719256401062,Q19355137,History_and_Society.Transportation,170.0,0.0,44.0,9.0,235.0,12.608696,-1.2382606000000005,-1.1215035,6.0,407.0,0.014742014742014744,Transportation,History_and_Society,2.6650294661521907,8154.84935669601,0.0003268030284292027
9,3.0,5069.0,Charles Maurras,4.0,0.15611489117145538,Q3048,History_and_Society.Politics_and_government,0.0,5231.0,163.0,6.0,60.0,12.608696,-12.361594,-15.474189,40.0,434.0,0.09216589861751152,Politics_and_government,History_and_Society,18.73378694057465,3309.2217975556846,0.0056610853205463964
10,6.0,5919.0,Daniel Gélin,5.0,0.9992778301239014,Q663553,Culture.Biography.Biography*,233.0,4772.217477420031,124.0,1.0,54.0,16.521739999999998,21.514854,13.518471,79.0,515.0,0.1533980582524272,Biography*,Culture,0.0,15653.032885827124,0.0
11,1.0,6431.0,Territoires du Nord-Ouest,4.0,0.7718535065650941,Q2007,Geography.Regions.Americas.North_America,0.0,0.0,163.0,4.0,60.0,10.0,20.387178,3.4520986000000002,22.0,709.0,0.031029619181946407,North_America,Geography,0.0,17206.450452812016,0.0
12,10.0,6603.0,Raoul Salan,4.0,0.9796776771545408,Q241944,History_and_Society.Military_and_warfare,0.0,77420.69503626286,163.0,6.0,60.0,21.73913,6.0027876,20.395351,21.0,434.0,0.04838709677419355,Military_and_warfare,History_and_Society,205.73231220245358,3309.2217975556846,0.06216939352763093
13,2.0,7018.0,Kilomètre carré,2.0,0.9748311638832092,Q712226,STEM.STEM*,88.0,0.0,77.0,4.0,193.0,11.304348,-20.78906,-6.8378289999999975,21.0,709.0,0.02961918194640338,STEM*,STEM,0.0,17206.450452812016,0.0
14,7.0,7739.0,Minsk,2.0,0.1778208613395691,Q2280,History_and_Society.Society,88.0,46203.099345523115,77.0,4.0,193.0,17.826088000000006,-24.496707999999998,18.870516000000002,41.0,709.0,0.05782792665726375,Society,History_and_Society,51.03458720445633,17206.450452812016,0.002966014829404623
